
<2017-11-20 18:22:26.598780> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:31.602288> <('127.0.0.1', 37912)><0>
<2017-11-20 18:22:36.608350> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:41.614711> <('127.0.0.1', 37912)><0>
<2017-11-20 18:22:46.621001> <('127.0.0.1', 37912)><1>
<2017-11-20 18:22:51.625389> <('127.0.0.1', 37912)><0>
<2017-11-20 18:22:56.631601> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:01.637736> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:06.643974> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:11.648532> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:16.654976> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:21.658069> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:26.660598> <('127.0.0.1', 37912)><1>
<2017-11-20 18:23:31.663038> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:36.666987> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:41.672599> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:46.676248> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:51.680342> <('127.0.0.1', 37912)><0>
<2017-11-20 18:23:56.686454> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:01.692630> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:06.697381> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:11.703364> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:16.709557> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:21.715846> <('127.0.0.1', 37912)><1>
<2017-11-20 18:24:26.720379> <('127.0.0.1', 37912)><1>
<2017-11-20 18:24:31.726661> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:36.728487> <('127.0.0.1', 37912)><1>
<2017-11-20 18:24:41.732549> <('127.0.0.1', 37912)><0>
<2017-11-20 18:24:46.738536> <('127.0.0.1', 37912)><1>
<2017-11-20 18:24:51.745211> <('127.0.0.1', 37912)><1>
<2017-11-20 18:24:56.748469> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:01.752638> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:06.756787> <('127.0.0.1', 37912)><0>
<2017-11-20 18:25:11.758743> <('127.0.0.1', 37912)><0>
<2017-11-20 18:25:16.764505> <('127.0.0.1', 37912)><0>
<2017-11-20 18:25:21.770441> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:26.776419> <('127.0.0.1', 37912)><0>
<2017-11-20 18:25:31.782284> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:36.788546> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:41.792519> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:46.796422> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:51.801126> <('127.0.0.1', 37912)><1>
<2017-11-20 18:25:56.804526> <('127.0.0.1', 37912)><1>
<2017-11-20 18:26:01.810641> <('127.0.0.1', 37912)><1>
<2017-11-20 18:26:06.816802> <('127.0.0.1', 37912)><1>
<2017-11-20 18:26:11.820609> <('127.0.0.1', 37912)><0>
<2017-11-20 18:26:16.826864> <('127.0.0.1', 37912)><1>
<2017-11-20 18:26:21.833110> <('127.0.0.1', 37912)><0>
<2017-11-20 18:26:26.836672> <('127.0.0.1', 37912)><1>
<2017-11-20 18:26:31.838994> <('127.0.0.1', 37912)><0>
<2017-11-20 18:26:36.844791> <('127.0.0.1', 37912)><0>
<2017-11-20 18:26:41.851105> <('127.0.0.1', 37912)><0>
<2017-11-20 18:26:46.852675> <('127.0.0.1', 37912)><1>
<2017-11-20 18:32:38.212277> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:32:43.218521> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:32:48.222493> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:32:53.225336> <('127.0.0.1', 38296)><húmido>
<2017-11-20 18:32:58.228000> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:33:03.233961> <('127.0.0.1', 38296)><húmido>
<2017-11-20 18:33:08.236556> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:33:13.240652> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:33:18.244811> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:33:23.248798> <('127.0.0.1', 38296)><seco>
<2017-11-20 18:33:28.254910> <('127.0.0.1', 38296)><húmido>
<2017-12-27 00:15:27.590643> <('127.0.0.1', 58756)><húmido>
<2017-12-27 00:15:32.607772> <('127.0.0.1', 58756)><seco>
<2017-12-27 00:15:37.609615> <('127.0.0.1', 58756)><húmido>
<2017-12-27 00:15:42.613575> <('127.0.0.1', 58756)><húmido>
